sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
Afrikaner:AFR086,0.125205,0.139128,0.057699,0.039083,0.035083,0.01255,0.00282,0.006692,0.008181,0.002734,-0.005034,0.008243,-0.004014,-0.003303,0.012079,-0.006762,-0.022035,0.00076,0.003897,0.000875,0.009234,0.004946,-0.001479,0.008435,-0.001676
Afrikaner:AFR089,0.103579,0.132019,0.061094,0.041344,0.037238,0.010598,0.005875,0.007154,0.001636,0.000729,-0.01153,0.006145,-0.009663,-0.013074,0.016015,0.012861,0.002999,0.004561,0.007039,0.001,0.004492,0.002226,0.002835,0.013978,-0.000239
Afrikaner:AFR094,0.12862,0.136081,0.059585,0.028424,0.048932,0.010319,-0.00094,0.007384,0.010635,0.011116,-0.001461,0.002548,-0.013231,-0.013625,0.010315,0.013259,0.013169,0.00228,0.002263,0.011881,0.007986,0.004575,0.002711,0.012893,-0.004191
\Albanian:AL12,0.124067,0.141159,0.021119,-0.01615,0.029544,-0.005299,0.00423,0.001385,0.000818,0.02278,0.002923,0.005245,-0.016055,-0.005092,-0.018187,0.004641,0.026468,0.000633,0.011313,-0.007003,-0.007736,0.008532,0.001849,0.006507,-0.007784
Albanian:AL17,0.122929,0.149283,0.004148,-0.024548,0.029236,-0.011156,0.003055,0.001846,0.007772,0.012757,0.000812,0.002098,-0.005203,0.009358,-0.015472,-0.009149,-0.006258,0.004561,0.013324,-0.011255,-0.004866,0.002226,0.005176,-0.003615,-0.006586
Albanian:AL29,0.117238,0.147252,0.013576,-0.023256,0.02185,-0.009761,0.00047,0.002308,0.005727,0.021322,0.000974,0.001199,-0.005203,0.012386,-0.016694,-0.004641,0.014603,0.00076,0.005279,-0.005253,-0.012228,-0.001607,0.000986,0.000964,-0.000838
Albanian:AL82,0.121791,0.139128,0.020365,-0.010659,0.020927,-0.003626,0.000235,-0.003,0.000614,0.011299,0.001949,-0.001349,-0.005798,0.011836,-0.013436,-0.01538,-0.009127,0.002787,0.007919,-0.007253,-0.001996,-0.001237,0.002835,-0.001325,0.000359
Albanian:AL9,0.103579,0.141159,0.018856,-0.011951,0.028313,-0.00502,0.00141,-0.002769,0,0.01713,0.001624,0.004196,-0.009366,0.00289,-0.014115,0.000663,0.005998,0,0.006159,-0.006128,-0.006364,0.004204,0.001602,0.007832,-0.004431
Albanian:AL98,0.111547,0.137096,0.010182,-0.013889,0.018157,-0.012271,-0.001175,-0.001846,-0.001636,0.022415,0.001137,0.004196,-0.008176,0.003165,-0.022258,0.002387,0.026859,-0.000127,0.004777,-0.000625,-0.012603,-0.00272,0.002588,0.00482,-0.007784
Albanian:ALB191,0.118376,0.137096,0.022627,-0.008398,0.021235,-0.01255,0.008225,0.006461,-0.00634,0.007836,-0.002923,0.005245,0.003865,0.007019,-0.029587,-0.001458,0.011474,0.003421,0.006034,-0.01088,-0.009982,-0.001855,0.001972,-0.000964,-0.004191
Albanian:ALB202,0.122929,0.136081,0.015085,-0.016796,0.026159,0.003068,0.00517,0.006692,-0.009408,0.012392,0.003248,-0.001049,-0.00223,0.003991,-0.017915,-0.006497,0.006258,0.000887,0.008799,-0.003126,-0.003868,-0.002597,0.002095,-0.003494,-0.001317
Albanian:ALB212,0.124067,0.147252,0.016216,-0.024871,0.023697,-0.010319,0.00329,-0.001154,0.005113,0.019499,-0.001624,0.002997,-0.01115,0.011423,-0.027416,-0.011933,0.002999,0.009375,0.009176,-0.014257,-0.004742,0.003833,0.001725,0.001205,-0.003952
Albanian:ALB213,0.119514,0.137096,0.012822,-0.008398,0.02739,-0.003904,0.0047,0,0.003886,0.017312,0.003897,0.003897,-0.003122,0.00578,-0.020494,-0.003182,0.004303,-0.004814,0.004525,0.001126,0.00287,-0.004081,0.005669,0.006748,0.002994
Albanian:ALB220,0.10927,0.147252,0.013953,-0.021641,0.023697,-0.009761,0.006345,0.005769,-0.005522,0.013485,-0.005846,-0.001798,-0.016799,0.004817,-0.019137,0.003447,0.013299,-0.004054,0.01433,-0.001251,-0.008235,0.002349,0.003328,0.006145,0.001078
Albanian:ALB230,0.122929,0.141159,0.017725,-0.010013,0.031698,-0.008367,0.004465,0.006,0.006954,0.015308,0.007145,-0.006294,-0.005946,0.011698,-0.016829,-0.008751,0.000652,0.004561,0.007919,-0.005378,0.002995,0.001607,-0.000739,0.001566,0.002155
